Group,ExpId,Id,SntId,Sentence,Labels,Distractor,Critical
B,gv,9,gv1,The father allowed his son to go spend all the money.,det1 noun1 verb1 pron2 noun2 to go verb adj3 det3 noun3,x-x-x trates footbrotte she etc cent mm loss used yeah click.,6
A,gv,10,gv1,The father advised his son to go save all the money.,det1 noun1 verb1 pron2 noun2 to go verb adj3 det3 noun3,x-x-x trates footbrotte she etc cent mm loss used yeah click.,6
D,gv,11,gv1,The father allowed his son to spend all the money.,det1 noun1 verb1 pron2 noun2 to verb adj3 det3 noun3,x-x-x trates footbrotte she etc cent loss used yeah click.,5
C,gv,12,gv1,The father advised his son to save all the money.,det1 noun1 verb1 pron2 noun2 to verb adj3 det3 noun3,x-x-x trates footbrotte she etc cent loss used yeah click.,5
B,gv,13,gv2,Everybody likes to go spend all the money.,pron1 verb1 to go verb adj2 det2 noun2,x-x-x futty arls vs funds anti mark gyrus.,4
A,gv,14,gv2,Everybody likes to go save all the money.,pron1 verb1 to go verb adj2 det2 noun2,x-x-x futty arls vs funds anti mark gyrus.,4
D,gv,15,gv2,Everybody likes to spend all the money.,pron1 verb1 to verb adj2 det2 noun2,x-x-x futty arls funds anti mark gyrus.,3
C,gv,16,gv2,Everybody likes to save all the money.,pron1 verb1 to verb adj2 det2 noun2,x-x-x futty arls funds anti mark gyrus.,3
C,gv,17,gv3,The professor urged students to go talk to a counselor.,det1 noun1a verb1 noun1b to go verb to2 det2 noun2,x-x-x grapishon speetest operated soul anti yet mm memory waterways.,6
D,gv,18,gv3,The professor urged students to go speak to a counselor.,det1 noun1a verb1 noun1b to go verb to2 det2 noun2,x-x-x grapishon speetest operated soul anti yet mm memory waterways.,6
A,gv,19,gv3,The professor urged students to talk to a counselor.,det1 noun1a verb1 noun1b to verb to2 det2 noun2,x-x-x grapishon speetest operated soul yet mm memory waterways.,5
B,gv,20,gv3,The professor urged students to speak to a counselor.,det1 noun1a verb1 noun1b to verb to2 det2 noun2,x-x-x grapishon speetest operated soul yet mm memory waterways.,5
C,gv,21,gv4,The smart students often opt to go talk to a counselor.,det1 adj1 noun1 adv1 verb1 to go verb to2 det2 noun2,x-x-x kueezest incenged china troy baby mm wood etc died penetrate.,7
D,gv,22,gv4,The smart students often opt to go speak to a counselor.,det1 adj1 noun1 adv1 verb1 to go verb to2 det2 noun2,x-x-x kueezest incenged china troy baby mm wood etc died penetrate.,7
